COMPROBANTE	SERIE_COMPROBANTE	CLAVE_ACCESO	FECHA_AUTORIZACION	FECHA_EMISION	VALOR_SIN_IMPUESTOS	IVA	IMPORTE_TOTAL
Factura	001-011-000000026	1001202301109010517100120010110000000261234567815	25/01/2023 10:52:32	10/01/2023 00:00:00	142.31	0	142.31
Factura	001-011-000000040	1001202301109010517100120010110000000401234567811	25/01/2023 10:53:57	10/01/2023 00:00:00	959.37	0	959.37
Factura	001-011-000000034	1001202301109010517100120010110000000341234567819	25/01/2023 10:53:15	10/01/2023 00:00:00	653.56	0	653.56
Factura	001-011-000000042	1001202301109010517100120010110000000421234567812	25/01/2023 10:54:15	10/01/2023 00:00:00	555	0	555
Factura	001-011-000000038	1001202301109010517100120010110000000381234567810	25/01/2023 10:53:32	10/01/2023 00:00:00	851.4	0	851.4
Factura	001-011-000000028	1001202301109010517100120010110000000281234567816	25/01/2023 10:52:49	10/01/2023 00:00:00	656.28	0	656.28
Factura	001-011-000000020	1001202301109010517100120010110000000201234567812	25/01/2023 10:52:14	10/01/2023 00:00:00	72.25	0	72.25
Factura	001-011-000000043	1001202301109010517100120010110000000431234567818	20/01/2023 10:05:00	10/01/2023 00:00:00	219.2	0	219.2
Factura	001-011-000000022	1001202301109010517100120010110000000221234567813	23/01/2023 16:19:36	10/01/2023 00:00:00	798.66	0	798.66
Factura	001-011-000000033	1001202301109010517100120010110000000331234567813	11/01/2023 10:01:09	10/01/2023 00:00:00	29.86	3.58	33.44
Factura	001-011-000000037	1001202301109010517100120010110000000371234567815	11/01/2023 17:16:02	10/01/2023 00:00:00	30	3.6	33.6
Factura	001-011-000000039	1001202301109010517100120010110000000391234567816	11/01/2023 17:16:23	10/01/2023 00:00:00	31.81	3.82	35.63
Factura	001-011-000000041	1001202301109010517100120010110000000411234567817	11/01/2023 17:16:44	10/01/2023 00:00:00	31.25	3.75	35
Factura	001-011-000000029	1001202301109010517100120010110000000291234567811	01/02/2023 15:53:49	10/01/2023 00:00:00	498.74	0	498.74
Factura	001-011-000000031	1001202301109010517100120010110000000311234567812	10/01/2023 16:52:08	10/01/2023 00:00:00	80.36	9.64	90
Factura	001-011-000000018	1001202301109010517100120010110000000181234567811	10/01/2023 14:48:26	10/01/2023 00:00:00	35.71	4.29	40
Factura	001-011-000000017	1001202301109010517100120010110000000171234567816	10/01/2023 14:43:56	10/01/2023 00:00:00	26.79	3.21	30
Factura	001-013-000000007	1001202301109010517100120010130000000071234567818	10/01/2023 15:39:30	10/01/2023 00:00:00	46.43	5.57	52
Factura	001-013-000000008	1001202301109010517100120010130000000081234567813	10/01/2023 15:44:12	10/01/2023 00:00:00	46.43	5.57	52
Factura	001-011-000000027	1001202301109010517100120010110000000271234567810	10/01/2023 16:20:50	10/01/2023 00:00:00	27.42	3.3	30.72
Factura	001-011-000000021	1001202301109010517100120010110000000211234567818	10/01/2023 16:19:51	10/01/2023 00:00:00	44.94	5.4	50.34
Factura	001-011-000000025	1001202301109010517100120010110000000251234567811	10/01/2023 16:20:30	10/01/2023 00:00:00	26.78	3.22	30
Factura	001-011-000000023	1001202301109010517100120010110000000231234567819	10/01/2023 16:20:10	10/01/2023 00:00:00	11.02	1.33	12.35
Factura	001-011-000000019	1001202301109010517100120010110000000191234567817	10/01/2023 16:19:31	10/01/2023 00:00:00	10.71	1.29	12
Factura	001-011-000000030	1001202301109010517100120010110000000301234567817	10/01/2023 16:48:33	10/01/2023 00:00:00	26.79	3.21	30
Factura	001-011-000000036	1001202301109010517100120010110000000361234567811	10/01/2023 17:27:49	10/01/2023 00:00:00	36.84	4.42	41.26
Factura	001-011-000000035	1001202301109010517100120010110000000351234567814	10/01/2023 17:26:50	10/01/2023 00:00:00	26.79	3.21	30
Factura	001-011-000000032	1001202301109010517100120010110000000321234567818	10/01/2023 17:21:39	10/01/2023 00:00:00	192	0	192
Factura	001-011-000000044	1001202301109010517100120010110000000441234567813	10/01/2023 18:01:44	10/01/2023 00:00:00	63.21	7.59	70.8
Factura	001-013-000000001	1001202301109010517100120010130000000011234567815	10/01/2023 12:02:35	10/01/2023 00:00:00	126.79	15.21	142
Factura	001-011-000000003	1001202301109010517100120010110000000031234567811	10/01/2023 12:17:48	10/01/2023 00:00:00	175.86	21.1	196.96
Factura	001-011-000000005	1001202301109010517100120010110000000051234567810	10/01/2023 12:33:46	10/01/2023 00:00:00	906.18	108.74	1014.92
